pair	env	cond	alpha_p1	alpha_p2
1	1	0	1.03	0.97
1	1	1	0.98	0.92
1	2	0	0.97	0.9
1	2	1	0.91	0.89
1	3	0	0.97	0.84
1	3	1	0.96	0.86
1	4	0	1.09	0.91
1	4	1	0.94	0.97
1	5	0	0.98	1.01
1	5	1	1.06	0.84
1	6	0	0.96	0.94
1	6	1	1.02	0.88
1	7	0	1.05	0.99
1	7	1	1.08	0.96
2	1	0	0.95	1.07
2	1	1	0.9	1.04
2	2	0	1.06	1.08
2	2	1	1.08	1.07
2	3	0	0.97	1.13
2	3	1	1.02	1.03
2	4	0	1.08	0.98
2	4	1	0.94	1.05
2	5	0	1.04	0.97
2	5	1	0.88	0.94
2	6	0	1.1	0.98
2	6	1	0.98	0.9
2	7	0	1.03	1.09
2	7	1	1.02	0.98
3	1	0	0.98	1.02
3	1	1	1	0.99
3	2	0	1.09	1.06
3	2	1	0.95	0.94
3	3	0	1.07	1.08
3	3	1	0.96	0.93
3	4	0	1.03	1.07
3	4	1	0.95	0.93
3	5	0	0.98	1.06
3	5	1	1.06	1.01
3	6	0	1.02	1.08
3	6	1	0.97	0.95
3	7	0	1.05	0.98
3	7	1	0.96	1.02
4	1	0	1.06	1.06
4	1	1	1.02	1.12
4	2	0	1.02	1.02
4	2	1	0.94	1.01
4	3	0	0.96	0.93
4	3	1	1.06	1.08
4	4	0	0.99	0.91
4	4	1	0.89	1.17
4	5	0	1.04	0.96
4	5	1	1.04	1.12
4	6	0	1.04	1.14
4	6	1	1.01	0.91
4	7	0	1.12	1.03
4	7	1	1.03	1.02
5	1	0	1.03	0.9
5	1	1	0.98	0.95
5	2	0	0.99	0.84
5	2	1	0.96	1
5	3	0	0.96	0.98
5	3	1	1.06	0.91
5	4	0	1.19	0.94
5	4	1	0.92	0.92
5	5	0	1.01	0.89
5	5	1	1.08	1.09
5	6	0	1.06	1.12
5	6	1	1.09	0.89
5	7	0	1	0.87
5	7	1	0.96	0.96
6	1	0	0.92	0.98
6	1	1	1.09	1.07
6	2	0	0.98	1
6	2	1	1.07	1.05
6	3	0	0.99	0.99
6	3	1	0.96	1.06
6	4	0	1	1.06
6	4	1	0.99	1.09
6	5	0	0.97	0.94
6	5	1	1.02	1.01
6	6	0	0.91	0.88
6	6	1	1.17	1.12
6	7	0	0.93	1.05
6	7	1	0.89	0.98
7	1	0	1.03	1.02
7	1	1	0.87	1.02
7	2	0	1.09	0.99
7	2	1	1.05	1.08
7	3	0	1	0.95
7	3	1	0.98	1.13
7	4	0	0.97	0.9
7	4	1	1.04	1.02
7	5	0	0.99	1.06
7	5	1	1.09	1.19
7	6	0	0.99	1.03
7	6	1	0.99	1.06
7	7	0	1.01	0.98
7	7	1	0.95	1.06
8	1	0	0.86	0.95
8	1	1	0.91	1.01
8	2	0	1.03	0.84
