pair	cond	env	num_windows	alpha_p1	alpha_p2
1	1	Train	0	1.021427542	0.825875992
1	1	Train	1	0.965528646	0.763172677
1	1	Train	2	0.814450933	0.759172739
1	1	Train	3	0.80754067	0.781201378
1	1	Train	4	0.983154414	0.732196025
1	1	Train	5	1.176009955	0.835735437
1	1	Train	6	1.166834384	0.989812465
1	1	Train	7	1.198685848	1.019657228
1	1	Train	8	1.080728282	0.882624642
1	1	FoodCourt	0	1.208620052	0.743941119
1	1	FoodCourt	1	1.221602827	0.746875059
1	1	FoodCourt	2	1.144039733	0.777384399
1	1	FoodCourt	3	1.039026299	0.804217624
1	1	FoodCourt	4	1.000684012	0.819950261
1	1	FoodCourt	5	1.054464102	0.786452808
1	1	FoodCourt	6	1.237355555	0.751725528
1	1	FoodCourt	7	1.234176653	0.738838143
1	1	FoodCourt	8	1.149822599	0.725306453
1	1	Living	0	0.873108201	0.949457407
1	1	Living	1	0.958943274	0.965159123
1	1	Living	2	0.779942281	0.883824409
1	1	Living	3	0.968008042	0.842352213
1	1	Living	4	1.114127916	0.82187522
1	1	Living	5	0.978371194	0.893178774
1	1	Living	6	0.978957225	0.841608284
1	1	Living	7	1.1030862	0.915581042
1	1	Living	8	1.142841274	0.822553222
1	1	MusicParty	0	1.121336902	0.96596078
1	1	MusicParty	1	1.297850836	1.088786254
1	1	MusicParty	2	1.360852445	1.040402487
1	1	MusicParty	3	1.204266323	0.921827853
1	1	MusicParty	4	1.219899291	0.884448306
1	1	MusicParty	5	1.294136619	1.023293867
1	1	MusicParty	6	1.128723053	1.041398483
1	1	MusicParty	7	0.88488616	0.925835878
1	1	MusicParty	8	0.993188348	0.861076418
1	1	Library	0	0.833124384	0.904499903
1	1	Library	1	0.939693981	0.923817137
1	1	Library	2	0.994569086	0.83509913
1	1	Library	3	1.034224157	0.88408667
1	1	Library	4	1.085699452	1.010020331
1	1	Library	5	1.129989315	0.854613651
1	1	Library	6	1.024171953	0.897206991
1	1	Library	7	1.115704107	1.000015715
1	1	Library	8	1.313065465	0.908909484
1	1	Cafe	0	0.93594078	0.826406333
1	1	Cafe	1	0.923561943	0.819397499
1	1	Cafe	2	0.846250186	0.778721569
1	1	Cafe	3	0.942329353	0.780925616
1	1	Cafe	4	1.031132393	0.792598806
1	1	Cafe	5	1.095491843	0.846687963
1	1	Cafe	6	1.16366771	0.846484436
1	1	Cafe	7	1.1551392	0.840694553
1	1	Cafe	8	0.939346356	0.843677772
1	1	NoMusicParty	0	1.241608974	0.954767268
1	1	NoMusicParty	1	1.211386557	0.882015811
1	1	NoMusicParty	2	0.895721699	0.848843008
1	1	NoMusicParty	3	1.12017312	1.014326687
1	1	NoMusicParty	4	1.204136455	0.931221766
1	1	NoMusicParty	5	1.249007318	0.842643107
1	1	NoMusicParty	6	1.210512156	0.899734353
1	1	NoMusicParty	7	0.725078093	0.81262783
1	1	NoMusicParty	8	1.092482498	0.754552346
1	0	NoMusicParty	0	1.119099182	0.822131907
1	0	NoMusicParty	1	0.926065136	0.800837567
1	0	NoMusicParty	2	0.925808844	0.955180161
1	0	NoMusicParty	3	1.101474329	1.06865782
1	0	NoMusicParty	4	0.886301075	0.865144313
1	0	NoMusicParty	5	0.756667184	0.845628585
1	0	NoMusicParty	6	0.884219215	0.918853453
1	0	NoMusicParty	7	0.915428316	0.950353973
1	0	NoMusicParty	8	0.8847156	0.80153213
1	0	FoodCourt	0	0.931781966	0.854216757
1	0	FoodCourt	1	1.139428657	0.907328402
1	0	FoodCourt	2	1.138235442	1.059709163
1	0	FoodCourt	3	1.001710864	1.094848199
1	0	FoodCourt	4	0.930170861	1.026912618
1	0	FoodCourt	5	0.882669562	1.072898114
1	0	FoodCourt	6	0.973264204	1.063513323
1	0	FoodCourt	7	1.049509531	0.940603119
1	0	FoodCourt	8	1.054022041	0.799770293
1	0	Cafe	0	1.045110063	0.629152406
1	0	Cafe	1	0.845263813	0.654521403
1	0	Cafe	2	0.940364652	0.849582405
1	0	Cafe	3	1.028648153	0.875993343
1	0	Cafe	4	0.90456601	0.821261789
1	0	Cafe	5	1.105155996	0.88168843
1	0	Cafe	6	0.973618292	0.839066039
1	0	Cafe	7	0.979290293	0.885646056
1	0	Cafe	8	1.147776009	0.919275652
1	0	MusicParty	0	1.128363591	0.946727291
1	0	MusicParty	1	0.979779469	0.886816379
1	0	MusicParty	2	1.063013102	0.97835769
1	0	MusicParty	3	1.072078785	1.138244765
1	0	MusicParty	4	1.144610722	1.213978019
