pair,cond,trial,env,env_code,num_windows,window_start,window_end,headVectP1,headVectP2
AFVY,standing,T003,Train,,0,0,1024,1.021427542,0.825875992
AFVY,standing,T003,Train,,1,512,1536,0.965528646,0.763172677
AFVY,standing,T003,Train,,2,1024,2048,0.814450933,0.759172739
AFVY,standing,T003,Train,,3,1536,2560,0.80754067,0.781201378
AFVY,standing,T003,Train,,4,2048,3072,0.983154414,0.732196025
AFVY,standing,T003,Train,,5,2560,3584,1.176009955,0.835735437
AFVY,standing,T003,Train,,6,3072,4096,1.166834384,0.989812465
AFVY,standing,T003,Train,,7,3584,4608,1.198685848,1.019657228
AFVY,standing,T003,Train,,8,4096,5120,1.080728282,0.882624642
AFVY,standing,T004,FoodCourt,,0,0,1024,1.208620052,0.743941119
AFVY,standing,T004,FoodCourt,,1,512,1536,1.221602827,0.746875059
AFVY,standing,T004,FoodCourt,,2,1024,2048,1.144039733,0.777384399
AFVY,standing,T004,FoodCourt,,3,1536,2560,1.039026299,0.804217624
AFVY,standing,T004,FoodCourt,,4,2048,3072,1.000684012,0.819950261
AFVY,standing,T004,FoodCourt,,5,2560,3584,1.054464102,0.786452808
AFVY,standing,T004,FoodCourt,,6,3072,4096,1.237355555,0.751725528
AFVY,standing,T004,FoodCourt,,7,3584,4608,1.234176653,0.738838143
AFVY,standing,T004,FoodCourt,,8,4096,5120,1.149822599,0.725306453
AFVY,standing,T005,Living,,0,0,1024,0.873108201,0.949457407
AFVY,standing,T005,Living,,1,512,1536,0.958943274,0.965159123
AFVY,standing,T005,Living,,2,1024,2048,0.779942281,0.883824409
AFVY,standing,T005,Living,,3,1536,2560,0.968008042,0.842352213
AFVY,standing,T005,Living,,4,2048,3072,1.114127916,0.82187522
AFVY,standing,T005,Living,,5,2560,3584,0.978371194,0.893178774
AFVY,standing,T005,Living,,6,3072,4096,0.978957225,0.841608284
AFVY,standing,T005,Living,,7,3584,4608,1.1030862,0.915581042
AFVY,standing,T005,Living,,8,4096,5120,1.142841274,0.822553222
AFVY,standing,T006,MusicParty,,0,0,1024,1.121336902,0.96596078
AFVY,standing,T006,MusicParty,,1,512,1536,1.297850836,1.088786254
AFVY,standing,T006,MusicParty,,2,1024,2048,1.360852445,1.040402487
AFVY,standing,T006,MusicParty,,3,1536,2560,1.204266323,0.921827853
AFVY,standing,T006,MusicParty,,4,2048,3072,1.219899291,0.884448306
AFVY,standing,T006,MusicParty,,5,2560,3584,1.294136619,1.023293867
AFVY,standing,T006,MusicParty,,6,3072,4096,1.128723053,1.041398483
AFVY,standing,T006,MusicParty,,7,3584,4608,0.88488616,0.925835878
AFVY,standing,T006,MusicParty,,8,4096,5120,0.993188348,0.861076418
AFVY,standing,T007,Library,,0,0,1024,0.833124384,0.904499903
AFVY,standing,T007,Library,,1,512,1536,0.939693981,0.923817137
AFVY,standing,T007,Library,,2,1024,2048,0.994569086,0.83509913
AFVY,standing,T007,Library,,3,1536,2560,1.034224157,0.88408667
AFVY,standing,T007,Library,,4,2048,3072,1.085699452,1.010020331
AFVY,standing,T007,Library,,5,2560,3584,1.129989315,0.854613651
AFVY,standing,T007,Library,,6,3072,4096,1.024171953,0.897206991
AFVY,standing,T007,Library,,7,3584,4608,1.115704107,1.000015715
AFVY,standing,T007,Library,,8,4096,5120,1.313065465,0.908909484
AFVY,standing,T008,Cafe,,0,0,1024,0.93594078,0.826406333
AFVY,standing,T008,Cafe,,1,512,1536,0.923561943,0.819397499
AFVY,standing,T008,Cafe,,2,1024,2048,0.846250186,0.778721569
AFVY,standing,T008,Cafe,,3,1536,2560,0.942329353,0.780925616
AFVY,standing,T008,Cafe,,4,2048,3072,1.031132393,0.792598806
AFVY,standing,T008,Cafe,,5,2560,3584,1.095491843,0.846687963
AFVY,standing,T008,Cafe,,6,3072,4096,1.16366771,0.846484436
AFVY,standing,T008,Cafe,,7,3584,4608,1.1551392,0.840694553
AFVY,standing,T008,Cafe,,8,4096,5120,0.939346356,0.843677772
AFVY,standing,T009,NoMusicParty,,0,0,1024,1.241608974,0.954767268
AFVY,standing,T009,NoMusicParty,,1,512,1536,1.211386557,0.882015811
AFVY,standing,T009,NoMusicParty,,2,1024,2048,0.895721699,0.848843008
AFVY,standing,T009,NoMusicParty,,3,1536,2560,1.12017312,1.014326687
AFVY,standing,T009,NoMusicParty,,4,2048,3072,1.204136455,0.931221766
AFVY,standing,T009,NoMusicParty,,5,2560,3584,1.249007318,0.842643107
AFVY,standing,T009,NoMusicParty,,6,3072,4096,1.210512156,0.899734353
AFVY,standing,T009,NoMusicParty,,7,3584,4608,0.725078093,0.81262783
AFVY,standing,T009,NoMusicParty,,8,4096,5120,1.092482498,0.754552346
AFVY,sitting,T012,NoMusicParty,,0,0,1024,1.119099182,0.822131907
AFVY,sitting,T012,NoMusicParty,,1,512,1536,0.926065136,0.800837567
AFVY,sitting,T012,NoMusicParty,,2,1024,2048,0.925808844,0.955180161
AFVY,sitting,T012,NoMusicParty,,3,1536,2560,1.101474329,1.06865782
AFVY,sitting,T012,NoMusicParty,,4,2048,3072,0.886301075,0.865144313
AFVY,sitting,T012,NoMusicParty,,5,2560,3584,0.756667184,0.845628585
AFVY,sitting,T012,NoMusicParty,,6,3072,4096,0.884219215,0.918853453
AFVY,sitting,T012,NoMusicParty,,7,3584,4608,0.915428316,0.950353973
AFVY,sitting,T012,NoMusicParty,,8,4096,5120,0.8847156,0.80153213
AFVY,sitting,T013,FoodCourt,,0,0,1024,0.931781966,0.854216757
AFVY,sitting,T013,FoodCourt,,1,512,1536,1.139428657,0.907328402
AFVY,sitting,T013,FoodCourt,,2,1024,2048,1.138235442,1.059709163
AFVY,sitting,T013,FoodCourt,,3,1536,2560,1.001710864,1.094848199
AFVY,sitting,T013,FoodCourt,,4,2048,3072,0.930170861,1.026912618
AFVY,sitting,T013,FoodCourt,,5,2560,3584,0.882669562,1.072898114
AFVY,sitting,T013,FoodCourt,,6,3072,4096,0.973264204,1.063513323
AFVY,sitting,T013,FoodCourt,,7,3584,4608,1.049509531,0.940603119
AFVY,sitting,T013,FoodCourt,,8,4096,5120,1.054022041,0.799770293
AFVY,sitting,T014,Cafe,,0,0,1024,1.045110063,0.629152406
AFVY,sitting,T014,Cafe,,1,512,1536,0.845263813,0.654521403
AFVY,sitting,T014,Cafe,,2,1024,2048,0.940364652,0.849582405
AFVY,sitting,T014,Cafe,,3,1536,2560,1.028648153,0.875993343
AFVY,sitting,T014,Cafe,,4,2048,3072,0.90456601,0.821261789
AFVY,sitting,T014,Cafe,,5,2560,3584,1.105155996,0.88168843
AFVY,sitting,T014,Cafe,,6,3072,4096,0.973618292,0.839066039
AFVY,sitting,T014,Cafe,,7,3584,4608,0.979290293,0.885646056
AFVY,sitting,T014,Cafe,,8,4096,5120,1.147776009,0.919275652
AFVY,sitting,T015,MusicParty,,0,0,1024,1.128363591,0.946727291
AFVY,sitting,T015,MusicParty,,1,512,1536,0.979779469,0.886816379
AFVY,sitting,T015,MusicParty,,2,1024,2048,1.063013102,0.97835769
AFVY,sitting,T015,MusicParty,,3,1536,2560,1.072078785,1.138244765
AFVY,sitting,T015,MusicParty,,4,2048,3072,1.144610722,1.213978019
AFVY,sitting,T015,MusicParty,,5,2560,3584,0.989851501,0.989356612
AFVY,sitting,T015,MusicParty,,6,3072,4096,0.954782142,0.705000518
AFVY,sitting,T015,MusicParty,,7,3584,4608,0.924797252,0.828047334
AFVY,sitting,T015,MusicParty,,8,4096,5120,1.073142483,0.970881198
AFVY,sitting,T016,Library,,0,0,1024,0.910932561,1.091733963
AFVY,sitting,T016,Library,,1,512,1536,0.856452692,0.936765395
AFVY,sitting,T016,Library,,2,1024,2048,0.908685292,0.905785849
AFVY,sitting,T016,Library,,3,1536,2560,1.077101898,1.033426513
AFVY,sitting,T016,Library,,4,2048,3072,0.969278016,1.088575724
AFVY,sitting,T016,Library,,5,2560,3584,0.846208962,1.063404411
AFVY,sitting,T016,Library,,6,3072,4096,0.933689854,0.974312148
AFVY,sitting,T016,Library,,7,3584,4608,1.136176723,1.147934855
AFVY,sitting,T016,Library,,8,4096,5120,1.126571381,1.212393435
AFVY,sitting,T017,Train,,0,0,1024,1.252515695,1.043366683
AFVY,sitting,T017,Train,,1,512,1536,1.224095885,1.045486414
AFVY,sitting,T017,Train,,2,1024,2048,1.210945841,1.008661694
AFVY,sitting,T017,Train,,3,1536,2560,0.899143836,0.853219319
AFVY,sitting,T017,Train,,4,2048,3072,1.125390946,0.865219802
AFVY,sitting,T017,Train,,5,2560,3584,1.049473975,0.924823095
AFVY,sitting,T017,Train,,6,3072,4096,1.215955697,0.975228131
AFVY,sitting,T017,Train,,7,3584,4608,1.0549165,0.890853393
AFVY,sitting,T017,Train,,8,4096,5120,0.841353975,0.95648353
AFVY,sitting,T018,Living,,0,0,1024,0.798627704,0.874328655
AFVY,sitting,T018,Living,,1,512,1536,0.854193796,0.965100592
AFVY,sitting,T018,Living,,2,1024,2048,0.889625121,0.919058027
AFVY,sitting,T018,Living,,3,1536,2560,1.02465286,1.082581494
AFVY,sitting,T018,Living,,4,2048,3072,0.905284296,1.010845685
AFVY,sitting,T018,Living,,5,2560,3584,0.818983354,0.755239346
AFVY,sitting,T018,Living,,6,3072,4096,0.976505359,0.868552321
AFVY,sitting,T018,Living,,7,3584,4608,0.803103006,0.952317299
AFVY,sitting,T018,Living,,8,4096,5120,0.860490714,0.937563928
AOMW,sitting,T003,Library,,0,0,1024,1.190089857,1.308755293
AOMW,sitting,T003,Library,,1,512,1536,1.065425499,0.878539955
AOMW,sitting,T003,Library,,2,1024,2048,1.132891567,0.896872439
AOMW,sitting,T003,Library,,3,1536,2560,1.120006287,0.795240422
AOMW,sitting,T003,Library,,4,2048,3072,1.109973221,0.897219217
AOMW,sitting,T003,Library,,5,2560,3584,1.167512751,1.007859087
AOMW,sitting,T003,Library,,6,3072,4096,1.156826372,1.243233321
AOMW,sitting,T003,Library,,7,3584,4608,1.081036676,1.154868703
AOMW,sitting,T003,Library,,8,4096,5120,1.146836091,0.963115098
AOMW,sitting,T004,MusicParty,,0,0,1024,1.32284841,1.240164889
AOMW,sitting,T004,MusicParty,,1,512,1536,1.185475615,1.223256736
AOMW,sitting,T004,MusicParty,,2,1024,2048,1.211874157,1.382915334
AOMW,sitting,T004,MusicParty,,3,1536,2560,1.209044324,1.363576073
AOMW,sitting,T004,MusicParty,,4,2048,3072,1.265425409,1.080489035
AOMW,sitting,T004,MusicParty,,5,2560,3584,1.266189321,1.170185626
AOMW,sitting,T004,MusicParty,,6,3072,4096,1.140311635,1.211115184
AOMW,sitting,T004,MusicParty,,7,3584,4608,0.939631543,1.193519762
AOMW,sitting,T004,MusicParty,,8,4096,5120,1.05446173,1.200719807
AOMW,sitting,T005,FoodCourt,,0,0,1024,1.167395725,1.352095597
AOMW,sitting,T005,FoodCourt,,1,512,1536,1.261643785,1.281923332
AOMW,sitting,T005,FoodCourt,,2,1024,2048,1.215597289,1.144917953
AOMW,sitting,T005,FoodCourt,,3,1536,2560,1.088140081,1.114474802
AOMW,sitting,T005,FoodCourt,,4,2048,3072,1.133225213,1.00814625
AOMW,sitting,T005,FoodCourt,,5,2560,3584,1.248082837,1.101816557
AOMW,sitting,T005,FoodCourt,,6,3072,4096,1.335013697,1.190320604
AOMW,sitting,T005,FoodCourt,,7,3584,4608,1.256033369,1.157978884
AOMW,sitting,T005,FoodCourt,,8,4096,5120,1.175217345,1.114036473
AOMW,sitting,T006,Train,,0,0,1024,1.174460579,1.124986621
AOMW,sitting,T006,Train,,1,512,1536,1.177893189,1.168357511
AOMW,sitting,T006,Train,,2,1024,2048,1.108775011,1.173050085
AOMW,sitting,T006,Train,,3,1536,2560,1.198147934,1.224897032
AOMW,sitting,T006,Train,,4,2048,3072,1.160174533,1.324352211
AOMW,sitting,T006,Train,,5,2560,3584,0.992106309,1.203928937
AOMW,sitting,T006,Train,,6,3072,4096,1.024540596,1.087200855
AOMW,sitting,T006,Train,,7,3584,4608,0.999929708,1.178481049
AOMW,sitting,T006,Train,,8,4096,5120,1.24935094,1.185281342
AOMW,sitting,T007,Cafe,,0,0,1024,1.094137759,1.206258907
AOMW,sitting,T007,Cafe,,1,512,1536,1.066372004,1.06071359
AOMW,sitting,T007,Cafe,,2,1024,2048,1.088473816,1.277736486
AOMW,sitting,T007,Cafe,,3,1536,2560,1.181580468,1.323161451
AOMW,sitting,T007,Cafe,,4,2048,3072,1.06302369,1.203528723
AOMW,sitting,T007,Cafe,,5,2560,3584,1.136260596,1.207673079
AOMW,sitting,T007,Cafe,,6,3072,4096,1.17874845,1.167324706
AOMW,sitting,T007,Cafe,,7,3584,4608,1.247279253,1.201316763
AOMW,sitting,T007,Cafe,,8,4096,5120,1.259565607,0.982160271
AOMW,sitting,T008,Living,,0,0,1024,0.983286008,0.972358658
AOMW,sitting,T008,Living,,1,512,1536,1.034048113,1.064986937
AOMW,sitting,T008,Living,,2,1024,2048,1.059987241,1.085509885
AOMW,sitting,T008,Living,,3,1536,2560,1.093792258,1.189614439
AOMW,sitting,T008,Living,,4,2048,3072,1.217174321,1.153449633
AOMW,sitting,T008,Living,,5,2560,3584,1.16758354,1.082420737
AOMW,sitting,T008,Living,,6,3072,4096,1.083456536,1.305186607
AOMW,sitting,T008,Living,,7,3584,4608,1.134771114,1.334078881
AOMW,sitting,T008,Living,,8,4096,5120,1.057355999,1.238798453
AOMW,sitting,T009,NoMusicParty,,0,0,1024,1.073695654,1.270629134
AOMW,sitting,T009,NoMusicParty,,1,512,1536,1.071477881,1.108800357
AOMW,sitting,T009,NoMusicParty,,2,1024,2048,1.14200779,1.077999757
AOMW,sitting,T009,NoMusicParty,,3,1536,2560,1.206362845,1.174547627
AOMW,sitting,T009,NoMusicParty,,4,2048,3072,1.189577408,1.254310465
AOMW,sitting,T009,NoMusicParty,,5,2560,3584,1.149276044,1.141178992
AOMW,sitting,T009,NoMusicParty,,6,3072,4096,1.025539187,1.159372131
AOMW,sitting,T009,NoMusicParty,,7,3584,4608,1.030105412,1.126236614
AOMW,sitting,T009,NoMusicParty,,8,4096,5120,1.169383309,1.145627432
AOMW,standing,T012,Cafe,,0,0,1024,0.932541611,0.897658665
AOMW,standing,T012,Cafe,,1,512,1536,1.206053185,1.153025358
AOMW,standing,T012,Cafe,,2,1024,2048,1.331331278,1.185953822
AOMW,standing,T012,Cafe,,3,1536,2560,0.986495473,1.057624573
AOMW,standing,T012,Cafe,,4,2048,3072,1.012528115,1.052181372
AOMW,standing,T012,Cafe,,5,2560,3584,1.058983983,1.067860291
AOMW,standing,T012,Cafe,,6,3072,4096,0.94003554,1.134906201
AOMW,standing,T012,Cafe,,7,3584,4608,0.946002901,0.942503057
AOMW,standing,T012,Cafe,,8,4096,5120,1.056368969,0.890138972
AOMW,standing,T013,Library,,0,0,1024,0.995973224,1.306945589
AOMW,standing,T013,Library,,1,512,1536,0.87106205,1.152127873
AOMW,standing,T013,Library,,2,1024,2048,0.811844255,0.871057452
